Respondent,Assignment,Activities,Airline.01a_OE (Pre20),Airline.01b_OE (Pre20),Airline.01c_OE (Pre20),Airline.02a_OE (Pre20),Airline.02b_OE (Pre20),Airline.02c_OE (Pre20),Airline.02d_OE (Pre20),Crude.2a_OE,Crude.2bc_MCOE (Pre 19),Crude.2bc_MCOE (Pre 19) follow up,Crude.3a_MC (Pre19 v2),Crude.3bc_MCOE (Pre19 v2),Crude.3bc_MCOE (Pre19 v2) follow up,Crude.04ab_MCOE (Pre19),Crude.04ab_MCOE (Pre19) follow up,Crude.06_OE (Pre19 v2),Crude.06_OE (Pre19 v2) follow up,Crude.06a_MC (Pre20),Crude.06bc_OE (Pre20 ),Crude.06bc_OE (Pre20 ) follow up,Crude.2a_MC (Pre20),Crude.2b_MC_sort,Crude.2b_MC [119]_1,Crude.2b_MC [119]_2,Crude.2b_MC_drag (Pre20),Crude.2b_MC_drag (Pre20)_1,Crude.2b_MC_drag (Pre20)_2,Wildlife .01a_OE (Pre20),Wildlife .01b_OE (Pre20),Wildlife .01c_OE (Pre20),DDT.02a_OE (Pre19),DDT.02b_OE (Pre19),Word.MC.01 (Pre 19),Word.03_MC (Pre 19),Word.04a_OE (Pre 19),Word.04b_OE  (Pre19),Glow.01a.MC_NoLabels,Glow.01c.MC,Glow.02a.MC,Glow.02b.MC,Glow.02c.MC,Glow.03a.MC,Glow.03b.MC.grh,Glow.03b.MC.eq,Glow.04a.MC,Glow.04b.MC.grh,Glow.04b.MC.eq,Pop.01_MC (Pre20) [12],Pop.02_MC (Pre20) [12],Pop.03ab_MCOE (Pre20) [66],Pop.03ab_MCOE (Pre20) [66] follow up,Pop.04_OE (Pre20) [13-16],Pop.04_OE (Pre20) [13-16]_1,Pop.04_OE (Pre20) [13-16]_2,Pop.04_OE (Pre20) [13-16]_3,Pop.04_OE (Pre20) [13-16]_4,Pop.04_MC_drag (Pre20) [ ],Pop.04_MC_drag (Pre20) [ ]_1,Pop.04_MC_drag (Pre20) [ ]_2,Pop.04_MC_drag (Pre20) [ ]_3,Pop.04_MC_drag (Pre20) [ ]_4,Pop.07ab_OE,Pop.07ab_OE follow up,Pop.09ab_MCOE (Pre20),Pop.09ab_MCOE (Pre20) follow up,Pop.09_MC_sort (Pre20),Population.09_MCMC_1,Population.09_MCMC_2,Pop.10ab_MCOE (Pre20),Pop.10ab_MCOE (Pre20) follow up,Pop.10_MC_sort (Pre20),Population.10_MCMC_1,Population.10_MCMC_2,Cycle.02_MC_sort (Pre20),Cycle.02_MC_1,Cycle.02_MC_2,Cycle.02_MC_3,Cycle.02_MC_4,Cycle.03a_OE (Pre19),Cycle.3a_MC_S,Cycle.3a_MC_1,Cycle.04ab_MCOE [22],Cycle.04ab_MCOE [22] follow up,Pest.02a_MC,Pest.02b_OE,Pest.03_OE (Pre19),Pest.03_OE (Pre19)_1,Pest.03_OE (Pre19)_2,Pest.03_OE (Pre19)_3,Pest.03_OE (Pre19)_4,Pest.03_MC_drag,Pest.03_MC_drag_1,Pest.03_MC_drag_2,Pest.03_MC_drag_3,Pest.03_MC_drag_4,Pest.05.05a_MCOE,Pest.05.05a_MCOE follow up,Pest.06a_MC,Pest.06b_OE,Pest.06ab_MC_sort (Pre20),Pest.06_MCMC_1,Pest.06_MCMC_2,Pest.07a_MC,Pest.07ab_OE,Pest.07ab_MC_sort,Pest.07_MCMC_1,Pest.07_MCMC_2,Pest.06_MC_drag,Pest.06_MC_drag_1,Pest.06_MC_drag_2,Pest.07ab_MC_drag (Pre 20),Pest.07ab_MC_drag (Pre 20)_1,Pest.07ab_MC_drag (Pre 20)_2,Water.01a_MC,Water.01b_OE,Water.01b_MC_sort (Pre20),Water.01b_MC_1,Water.01b_MC_drag (Pre20),Water.01b_MC_drag (Pre20)_1,Brake .02_MC (Pre20 no label),Garden.2.1_2.8_NU (Pre19),Garden.2.1_2.8_NU (Pre19)_1,Garden.2.1_2.8_NU (Pre19)_2,Garden.2.1_2.8_NU (Pre19)_3,Garden.2.1_2.8_NU (Pre19)_4,Garden.2.1_2.8_NU (Pre19)_5,Garden.2.1_2.8_NU (Pre19)_6,Garden.2.1_2.8_NU (Pre19)_7,Garden.05ab_MCOE  (Pre20),Garden.05ab_MCOE  (Pre20) follow up,Garden.02_MC (Pre20),D.04_grade_level,D.05_gender,D.09_Race_ethnicity,D.10_Math_courses,D.11_Apcourses,D.12_IB,D.02_Class,D.03_Teacher,D.08_hispanic_YN,D.06_English_LearnerYN,D.07_English_proficiency,D.01_Consent
108,294,PSM_Pretest_2020_B,,,,,,,,,,,,,,,,,,c,The graph shows the yearly trends easier,maybe something happened in history that caused less oil to be produced,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",they have the most vehicle collisions but have very little wildlife vehicle collisions,the number of vehicle and wildlife vehicle collisions in California compared to the other states,"95% of their population is located in urban areas, so there aren't as many wildlife vehicle collisions as a result, but there are more vehicle collisions","at the end, the DDT won't have zero mass because you're taking half of it every 15 years so it shouldn't be a constant straight line",it matches the situation above because the mass is decreased by half its mass every 15 years which should be a negative exponential graph as shown,,,it stays constant at 1.2 the whole time and ken's graph doesn't show that at all,he's saying that ken memorizes 0 words after 40 minutes and decreases from 1.2 which doesn't make sense,c,,c,,d,,,,,,,d,b,,,=   years since 1965    =   slope    =   x intercept    =   number of people,years since 1965,slope,x intercept,number of people,,,,,,the food supply is double the population,the x and y values,b,because it shows mathematically with actual numbers how they can increase food exportation,,,,a,the graph shows the predicted point where the food supply and population overlap,,,,: e;: d;: c;: b,e,d,c,b,,,,a,the time in minutes,d,its an exponential function,,,,,,: 1; : 0;: 3;: 9,b,a,d,j,,,,,,,,,,,,,"Representation: 0;Reason(s): 2,3",a,"c,d","Representation: 1;Reason(s): 5,4",b,"f,e",b,,,,"Justification: 2,7","c,h",,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
90,276,PSM_Pretest_2020_F,The patterns go up around the same time and go down around the same time as well. All in all the graphs look very similar to each other. There were jest more people coming from Europe.,The fact that both lines go up and down around the same points and that the shapes of the line are very similar to each other. Even though they look similar there were more people coming from Europe than there were coming from Asia.,People from Europe might of had more money or more reasoning to come to San Francisco than people from Asia and that is why they had more people come.,January,The graph for Asia went higher in January for the most part but the line for Europe was either increasing slightly or decreasing.,Everyone is going home because the holiday season has just ended so not many people are here.,This graph does give enough information to launch an effective marketing campaign because it shows when the least amount of people are traveling to San Francisco so they can try to make those times of year more appealing to people in Europe and Asia.,,,,,,,,,,,e,The feature of the table that made me come to this conclusion is the fact that the numbers for the 2000s were in a decline for three years in a row before they started to increase. Even though other years had a year here or there decrease they didn't usually go through three years of decline.,There might have been an oil shortage or people just might not have needed as much oil in the 2000s as they did in other decades.,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",,,,Since DDT has a half life of 15 years the graph is not accurate because it is showing that DDT is still above half of the original number after 50 years.,This graph matches the situation described above because it is decreasing by half every 15 years like it is supposed to based off of the information given above.,,,"In Maya's graph she shows a constant line yet ken's graph shows that as time passed he was able to to learn more words as he kept studying. He did not keep learning 1.2 words per minute throughout the study time, his word count was increasing.",Mason's graph is wrong because Ken is learning more word per minute rather that learning less. Mason's Graph shows a constant decline and it should be increasing not decreasing.,f,,b,,d,,,,b,,a,a,c,,,=   the total exponential growth    =   how many years    =   rate of growth    =   percent growth,the total exponential growth,how many years,rate of growth,percent growth,,,,,,Newland's population looks as if they are under the food supply for year 50 which means that they had an overstock of food.,Newland's population line and Newland's food supply line.,a,The department of Agriculture should use the graph because it shows how if they don't increase the country's level of food exportation then the population will quickly outgrow the food supply causing chaos in the upcoming years as people scavenge for food,,,,b,The congress members should use the equations because it can give an accurate number where as the graph is more so predicting what will happen,,,,: e;: d;: c;: b,e,d,c,b,,,,a,Angel's line on the graph hits the x-axis (minutes) while Robin's line is still going. Angel's line stopped first.,d,The fact that the line is not a constant slope therefore it cannot be y=mx+b and then the last equation shows that you can figure out the exact spore density by the time the harvest is set to take place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,"Justification: 2,6","c,g",e,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
85,271,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,b,The labeling on the y-axis and x-axis.,It could be possible the oil manufacturers found a new reserve of oil and had more production in the 1970s.,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h","California has less than 1% for their proportion of wildlife-vehicle collisions, while the other states have 2% or more.","The column titled ""Proportio of wildlife-vehicle collisions(%).""",California has many wildlife reserves and tries to keep people from driving through areas that might endanger drivers or animals.,"The graph does not accurately show the amount of DDT is in the soil. By 50 years the amount of DDT in the soil would be close to 125 grams, not around 640.",The graph depicts the decrease of DDT in the soil over the years accurately because at 50 years the soil would have around 125 grams of DDT in the soil.,,,Maya drew a graph that shows a constant number of words memorized instead of showing growth that slowly stops.,Mason drew a graph that showed showed Ken starting off with learning a  constant amount of words that was too low for what he was actually learning.,e,,b,,a,,,,,,,d,d,,,=   total population    =   initial population    =   rate of growth    =   number of years,total population,initial population,rate of growth,number of years,,,,,,"The relationship between Newland's food supply and population is very stable because the food supply has grown at the same rate as the population, allowing for the town to feed everyone and not be too overpopulated due to lack of food suppy.","The lines depicting the growth of the population and the food supply, along with the labeled intervals lead me to this conclusion.",a,The graph is a visual representation of the growth in Newland and it will be more appealing to the congress. A graph is a broader presentation than equations and will allow more people to understand the proposal being presented.,,,,b,The equations give a more accurate result of when this will happen than the graph does. If the graph were to be used the Department of Agriculture would have to estimate when this would happen instead of having an exact number.,,,,: d;: b;: c;: a,d,b,c,a,,: d,d,a,The labeling of the x-axis led me to make my selection.,d,The graph is growing at an exponential rate and this equation would be the most accurate.,,,,,,: 0; : 3;: 4;: 9,a,d,e,j,,,,,,,,,,,,,"Representation: 1;Reason(s): 4,7",b,"e,h",,,,,,,,,,c,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
86,272,PSM_Pretest_2020_D(c),"The both peak in the summer months of each year, and both are at their minimum during the winter months of each year.","The graphs for both Asia and Europe are at their highest points in the summer months, and their lowest in the winter.....",People travel more in summer? idk.,Winter.,The lines are just farther apart in the winter....,"Climate is more similar between San Fransisco and Europe in the winter, so much less people visit during that time of year.","No, because you would also want to know why these tourists have come to San Fransisco, so that the ad can market more towards the largest group of people.",,,,,,,,,,,c,"During the 80's, the graph dips drastically then build back up.",World events going on at the time could effect how much oil is able to be produced at the time. Especially in the Middle East.,c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,"This is a linear graph, when a correct half life graph should be exponential, because it is being halved at a set interval, but the size of that half is not constant.","This graph is correct, you can see that after every 15 years, the amount of DDT is halved.",,,Maya's graph shows that Ken is memorizing the same number of words per minute no matter how much time goes by. I think Maya is a little bit slow in the head if she thinks that's right,Mason's graph shows that Ken's rate of words memorized per minute decreases at a linear rate instead of an exponential one like it should be. She's not as dumb as Maya i supposed but shes still wrong.,d,,a,,d,,,,b,,a,d,c,,,=   population after time    =   population at 1965    =   number of years    =   4%,population after time,population at 1965,number of years,4%,,,,,,Newland has plenty of food for its population.,The food supply line is higher than the population one...,a,The graph more clearly shows that Newland will have enough food for its population for the next 20 years.,,,,b,The equation gives a much more precise answer than the graph.,,,,: d;: a;: c;: b,d,a,c,b,,: c,c,a,The red line reaches the bottom of the graph before the blue line reaches the top.,d,"Its an exponential graph, and that was the only exponential function.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
77,263,PSM_Pretest_2020_A(c),,,,,,,,,c,I choose neither because it took a while to go through all the options. It would be better if we had equations for it.,,,,,,,,b,I was using the dot points on the graph to compare the different decades to see which one was the most different.,"It might be very different because there could have been something to prevent the oil from coming above ground, or problems that they faced.",b,,,,,,,,,,What doesn't match is that it does not half in 15 years but rather 75 which is incorrect. What does match is the amount of DDT in the soil at the beginning.,"What does not match is the consistency of the DDT decline as it approaches 0, another thing is that IS the same is that it does include the half- life of DDT which is 15 years. That is why it declined so fast at the beginning.",,,"Maya's graph does not start at 0, which proves that the graph cannot be accurate. It also can't have decimals in her graph. You can't memorize 1.2 words.","This is pretty much the same as Maya's graph. It does not start at 0. It also can't have decimals for memorizing words. It decreases, which is different from Maya's graph.",c,,b,,d,,,,,,,a,c,,,=   how much the population is increasing during a certain time    =   year    =   percent rate    =   time,how much the population is increasing during a certain time,year,percent rate,time,,,,,,The relationship is linear? The food supply is slowly climbing but the more populated it is the harder it will be to feed everyone.,One of the features that helped me was the projected population and the Projected food supply. This helped me form an idea of how the future will go for them.,b,"I think they should use the equation rather than the graph because the graph id a prediction, not what is actually going to happen. The equation on the other hand is based of of what they already know and they can find more accurate readings.",,,,a,"While the graph is not the most accurate, it is still a vague idea of what year the population will overtake the food supply.",,,,: d;: b;: c;: a,d,b,c,a,,,,a,When I look on the graph I can see that the blue line is longer than the red one.,d,"I choose the equation above because it is the right formula when calculating something that involves time. It predicts how the mold will be when harvest comes around, and it is very accurate.",,,,,,,,,,,,,,,,,,,,,,,"Representation: 1;Reason(s): 4,7",b,"e,h","Representation: 0;Reason(s): 3,7",a,"d,h",,,,,,,e,,,,,,,,,a,It is not possible to have a negative Length.,d,****,****,****,****,****,****,****,****,****,,,****
101,287,PSM_Pretest_2020_A(c),,,,,,,,,b,because it provides me with exact numbers,,,,,,,,a,the graph there was a large spike in productions,"it was new so a lot of people wanted it, supply and demand, the over compensated for how much they would need","c,e",,,,,,,,,,This does not match because the graph will not have to exact same slope the entire time because of how half life works  you will not be losing the same amount of material each time.,this graph matches because it has the extreme slope in the beginning but then it starts to level out as it approaches zero,,,as time went on he started learning less and less words so there should have been a negative slope,the graph should not have gone all the way back to zero,d,,b,,a,,,,,,,d,b,,,=   total population    =   starting population    =   percent of growth    =   number of years,total population,starting population,percent of growth,number of years,,,,,,the population is going to pass the food supply at around 79 years,the population begins to grow at a much quicker pace than the food supply,a,"most people are a visual learner so having something to show them is always help, also if they don't understand the equations they can use the graphs",,,,b,the equations are going to give you a more exact answer.,,,,: d;: a;: c;: b,d,a,c,b,,,,a,"angel has a steeper slope, you can also compare the finishing points on the x-axis",c,there is a vertical asymptope,,,,,,,,,,,,,,,,,,,,,,,"Representation: 0;Reason(s): 5,2",a,"f,c","Representation: 1;Reason(s): 4,5",b,"e,f",,,,,,,b,,,,,,,,,a,You do not need negative lengths since it is an actual measurement.,d,****,****,****,****,****,****,****,****,****,,,****
95,281,PSM_Pretest_2020_A(c),,,,,,,,,b,you tell the exact values using the table to get exact answers instead of a rough estimate,,,,,,,,a,there is a huge spike in the 60s. bigger than the other decades,there wasn't that many people working in oil production and then it became really popular and then leveled back out with time,b,,,,,,,,,,"15 years after the initial 100 grams of DDT the value should be 50 not around 780. They didn't calculate the half life correctly- it shouldn't be a straight line, it should be exponential decay",This graph matched the calculations for half life. And it expresses exponential decay properly.,,,the more time you have the more words you should be able to memorize,with more time you shouldn't forget words,e,,b,,a,,,,,,,d,a,,,=   number of people (in millions)    =   initial number of people     =   growth rate (percentage)    =   years since 1965,number of people (in millions),initial number of people,growth rate (percentage),years since 1965,,,,,,in 2015 there was not enought food supply for the number of people in Newland,you can see that the food supply line in way below the population line,b,because the graph is not expressing the new proposal. the equations will give them a more exact estimate,,,,b,they can plug numbers into the equation and get a answer right away instead of having to check the graph,,,,: e;: d;: c;: b,e,d,c,b,,,,a,angels line is much more condenses and at a greater angle than robin,d,because you can see it is growing exponentially,,,,,,,,,,,,,,,,,,,,,,,Representation: 1;Reason(s): 4,b,e,Representation: 1;Reason(s): 4,b,e,,,,,,,b,,,,,,,,,a,no negatives because you can't have a garden that is -3 feet long for example,d,****,****,****,****,****,****,****,****,****,,,****
72,258,PSM_Pretest_2020_F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
78,264,PSM_Pretest_2020_F,They increased and decreased mainly in the same parts of the year.,The up and down movement of both lines.,Time of year and season possibly weather.,January,Thats when the lines are furthest apart.,I have no idea,"No, I dont know how old they are or what they are coming for. the amount of money the spend and things they are interested to point them in the right direction. The only thing the graph tells me is when they like to travel.",,,,,,,,,,,a,On the graph it had the fastest rising line compared to the others.,It was the start so there was more available to produce.,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",,,,Its a straight line its constantly decreasing by 1/2.,Cant be this because it decreases fast and then slows down.,,,didn't started at zero and just kept a continues rate.,some how he started decreasing the words he memorized.,b,,b,,a,,,,b,,a,a,b,,,=   answer    =   Number of people that year    =   year it took place    =   percent increase,answer,Number of people that year,year it took place,percent increase,,,,,,They have plenty of food.,The food supply line is higher than the population.,a,It shows us right there in the graph what all the numbers are and when they cross.,,,,b,You can plug that number and others into the equation and get a direct answer.,,,,: e;: a;: c;: b,e,a,c,b,,,,a,the red line stopped sooner.,d,it has a power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,"Justification: 6,5","g,f",b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
84,270,PSM_Pretest_2020_F,,,,,,,,,,,,,,,,,,c,"The dip down from the graph gave this away, as it is the only spot in the entire graph that does not continue upwards.","Losses of oil rigs, new spots of oil needing to be found, economic or political issues in countries that produce the oil, or wars going on in big oil countries",c,,,,"Representation: 1;Reason(s): 2,4",b,"c,e",,,,"This graph does not match the situation above, first of all because the increments of the years make it difficult to tell where the halves are at, but also because the graph gets to the first half at 75 years, but it happens in the first 15 years.","This graph does match the given situation, because it is a decay graph for an exponential function that shows what the situation would truly look like",,,"In Maya's graph, she does not take into account the level off in Ken's graph. After 24 minutes of studying, Ken basically made little to no more growth, but as Maya's graph would show, he would keep on memorizing 1.2 words per minute for however long he studied.","What might be wrong with Mason's graph is that he does not take into account the linear growth at the start, but towards 24 to 32 minutes, Ken seems to approach a limit.",d,,c,,a,,,,b,,a,d,b,,,=   total population after x years    =   starting population    =   growth/decay rate of population    =   amount of time,total population after x years,starting population,growth/decay rate of population,amount of time,,,,,,There is plenty of food supply to go around to the population in 2015,The population is nearly half of what the food supply is,a,"The department of agriculture should use the graph above because for the 20 years after 2015 (year 50), there is still a surplus of food for the population at this time.",,,,b,"When given exact numbers as in the 1.25, a more exact answer will come out of using the equations than you would get from reading the graph.",,,,: d;: a;: c;: b,d,a,c,b,,,,a,"Angel arrived at her destination faster, because she was at the bottom about twice as fast as Robin got to the top.",d,"The equation i chose was exponential and it is a good match because the graph start to rise slowly, but quickly gets to a point where it is almost going up vertically.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
