Student,Assignment,Activity,Scoring Guide,Nancy Stephenson Score,Angela Ross Score,Active Score
89,275,PSM_Pretest_2020_A(c),Crude.06abc_MCOE,IMR0,,
163,349,PSM_Pretest_2020_A(c),Crude.06abc_MCOE,IMR0,,
184,370,PSM_Pretest_2020_A(c),Crude.06abc_MCOE,IMR0,,
190,376,PSM_Pretest_2020_A(c),Crude.06abc_MCOE,IMR0,,
205,391,PSM_Pretest_2020_A(c),Crude.06abc_MCOE,IMR0,,
261,448,PSM_Pretest_2020_A(c),Crude.06abc_MCOE,IMR0,,
407,601,PSM_Pretest_2020_A(c),Crude.06abc_MCOE,IMR0,,
429,634,PSM_Pretest_2020_A(c),Crude.06abc_MCOE,IMR0,,
511,1618,PSM_Pretest_2020_A(c),Crude.06abc_MCOE,IMR0,,
77,263,PSM_Pretest_2020_A(c),Cycle.04ab_MCOE,IMR1,IMR1,IMR1
92,278,PSM_Pretest_2020_D(c),Cycle.04ab_MCOE,IMR2,IMR1,IMR2
93,279,PSM_Pretest_2020_C,Cycle.04ab_MCOE,IMR2,IMR1,IMR2
95,281,PSM_Pretest_2020_A(c),Cycle.04ab_MCOE,IMR1,IMR1,IMR1
100,286,PSM_Pretest_2020_B,Cycle.04ab_MCOE,IMR1,IMR1,IMR1
103,289,PSM_Pretest_2020_E(c),Cycle.04ab_MCOE,,,IMR2
108,294,PSM_Pretest_2020_B,Cycle.04ab_MCOE,IMR1,IMR1,IMR1
111,297,PSM_Pretest_2020_E(c),Cycle.04ab_MCOE,,,IMR1
114,300,PSM_Pretest_2020_B,Cycle.04ab_MCOE,IMR3,IMR3,IMR3
115,301,PSM_Pretest_2020_A(c),Cycle.04ab_MCOE,,,IMR2
118,304,PSM_Pretest_2020_D(c),Cycle.04ab_MCOE,IMR3,IMR2,IMR2
126,312,PSM_Pretest_2020_B,Cycle.04ab_MCOE,IMR2,IMR2,IMR2
131,317,PSM_Pretest_2020_A(c),Cycle.04ab_MCOE,IMR3,IMR3,IMR3
134,320,PSM_Pretest_2020_D(c),Cycle.04ab_MCOE,IMR1,IMR1,IMR1
135,321,PSM_Pretest_2020_C,Cycle.04ab_MCOE,IMR3,IMR2,IMR2
140,326,PSM_Pretest_2020_D(c),Cycle.04ab_MCOE,IMR1,IMR1,IMR2
143,329,PSM_Pretest_2020_A(c),Cycle.04ab_MCOE,IMR2,IMR2,
151,337,PSM_Pretest_2020_E(c),Cycle.04ab_MCOE,,,IMR1
158,344,PSM_Pretest_2020_F,Cycle.04ab_MCOE,,,IMR1
159,345,PSM_Pretest_2020_E(c),Cycle.04ab_MCOE,,,IMR3
167,353,PSM_Pretest_2020_C,Cycle.04ab_MCOE,IMR3,IMR2,IMR3
169,355,PSM_Pretest_2020_A(c),Cycle.04ab_MCOE,IMR1,IMR1,IMR1
170,356,PSM_Pretest_2020_F,Cycle.04ab_MCOE,,,IMR2
171,357,PSM_Pretest_2020_E(c),Cycle.04ab_MCOE,,,IMR3
184,370,PSM_Pretest_2020_A(c),Cycle.04ab_MCOE,,,IMR3
197,383,PSM_Pretest_2020_F,Cycle.04ab_MCOE,,,IMR3
201,387,PSM_Pretest_2020_C,Cycle.04ab_MCOE,IMR2,IMR2,IMR2
202,388,PSM_Pretest_2020_B,Cycle.04ab_MCOE,IMR3,IMR3,IMR3
208,394,PSM_Pretest_2020_D(c),Cycle.04ab_MCOE,IMR3,IMR3,IMR3
214,400,PSM_Pretest_2020_F,Cycle.04ab_MCOE,,,IMR2
250,437,PSM_Pretest_2020_B,Cycle.04ab_MCOE,IMR2,IMR2,IMR1
251,438,PSM_Pretest_2020_A(c),Cycle.04ab_MCOE,,,IMR2
260,447,PSM_Pretest_2020_B,Cycle.04ab_MCOE,IMR2,IMR2,IMR2
263,450,PSM_Pretest_2020_E(c),Cycle.04ab_MCOE,,,IMR1
267,454,PSM_Pretest_2020_B,Cycle.04ab_MCOE,IMR2,IMR2,IMR2
271,458,PSM_Pretest_2020_D(c),Cycle.04ab_MCOE,IMR1,IMR1,IMR1
296,484,PSM_Pretest_2020_C,Cycle.04ab_MCOE,IMR3,IMR3,IMR3
556,781,PSM_Pretest_2020_D(c),Cycle.04ab_MCOE,IMR2,IMR2,IMR3
574,800,PSM_Pretest_2020_E(c),Cycle.04ab_MCOE,,,IMR2
728,970,PSM_Pretest_2020_D(c),Cycle.04ab_MCOE,IMR3,IMR2,IMR2
729,971,PSM_Pretest_2020_C,Cycle.04ab_MCOE,IMR0,IMR0,IMR0
743,986,PSM_Pretest_2020_E(c),Cycle.04ab_MCOE,,,IMR0
750,993,PSM_Pretest_2020_F,Cycle.04ab_MCOE,,,IMR3
780,1026,PSM_Pretest_2020_F,Cycle.04ab_MCOE,,,IMR1
849,1097,PSM_Pretest_2020_D(c),Cycle.04ab_MCOE,IMR2,IMR3,IMR3
1219,1540,PSM_Pretest_2020_B,Cycle.04ab_MCOE,IMR3,IMR3,IMR3
1227,1550,PSM_Pretest_2020_C,Cycle.04ab_MCOE,IMR1,IMR1,IMR1
1232,1555,PSM_Pretest_2020_F,Cycle.04ab_MCOE,,,IMR2
1244,1570,PSM_Pretest_2020_E(c),Cycle.04ab_MCOE,,,IMR1
1290,1620,PSM_Pretest_2020_F,Cycle.04ab_MCOE,,,IMR1
1372,1704,PSM_Pretest_2020_F,Cycle.04ab_MCOE,,,IMR0
